,,0
crack-use,oxycontin-use,0.08647058823529413
crack-use,tranquilizer-use,0.3194117647058824
crack-use,tranquilizer-frequency,-0.936029411764706
crack-use,stimulant-use,0.20511029411764706
crack-use,stimulant-frequency,-5.964705882352942
crack-use,meth-use,0.04301470588235294
crack-use,sedative-use,0.014264705882352941
crack-use,sedative-frequency,0.5367647058823531
heroin-use,n,3.3779411764705927
heroin-use,alcohol-use,6.078970588235295
heroin-use,alcohol-frequency,3.88639705882353
heroin-use,marijuana-use,2.8405514705882355
heroin-use,marijuana-frequency,3.8720588235294113
heroin-use,cocaine-use,0.5456985294117648
heroin-use,crack-use,0.05908088235294118
heroin-use,heroin-use,0.11139705882352939
heroin-use,hallucinogen-use,0.6372058823529411
heroin-use,hallucinogen-frequency,-1.516911764705882
heroin-use,inhalant-use,-0.06683823529411763
heroin-use,pain-releiver-use,0.8516544117647059
heroin-use,pain-releiver-frequency,-0.3147058823529413
heroin-use,oxycontin-use,0.15738970588235293
heroin-use,tranquilizer-use,0.47904411764705884
heroin-use,tranquilizer-frequency,-0.6726102941176472
heroin-use,stimulant-use,0.3796323529411764
heroin-use,stimulant-frequency,-7.97702205882353
heroin-use,meth-use,0.07161764705882354
heroin-use,sedative-use,0.01536764705882353
heroin-use,sedative-frequency,-0.19650735294117647
hallucinogen-use,n,-1070.2808823529413
hallucinogen-use,alcohol-use,34.80518382352942
hallucinogen-use,alcohol-frequency,10.845955882352944
hallucinogen-use,marijuana-use,32.040147058823536
hallucinogen-use,marijuana-frequency,27.112132352941174
hallucinogen-use,cocaine-use,4.34110294117647
hallucinogen-use,crack-use,0.3662132352941176
hallucinogen-use,heroin-use,0.6372058823529411
hallucinogen-use,hallucinogen-use,7.7980882352941165
hallucinogen-use,hallucinogen-frequency,-17.92242647058823
hallucinogen-use,inhalant-use,0.4480514705882353
hallucinogen-use,pain-releiver-use,8.040441176470587
hallucinogen-use,pain-releiver-frequency,-8.133088235294117
hallucinogen-use,oxycontin-use,1.5570955882352944
hallucinogen-use,tranquilizer-use,4.225036764705883
hallucinogen-use,tranquilizer-frequency,-10.079779411764708
hallucinogen-use,stimulant-use,3.6951102941176472
hallucinogen-use,stimulant-frequency,-76.79283088235294
hallucinogen-use,meth-use,0.5723897058823529
hallucinogen-use,sedative-use,0.19988970588235289
hallucinogen-use,sedative-frequency,-21.688235294117646
hallucinogen-frequency,n,170.2242647058824
hallucinogen-frequency,alcohol-use,-139.76286764705878
hallucinogen-frequency,alcohol-frequency,-55.84191176470589
hallucinogen-frequency,marijuana-use,-85.80404411764707
hallucinogen-frequency,marijuana-frequency,-104.78676470588235
hallucinogen-frequency,cocaine-use,-10.03970588235294
hallucinogen-frequency,crack-use,-0.7036764705882355
hallucinogen-frequency,heroin-use,-1.516911764705882
hallucinogen-frequency,hallucinogen-use,-17.92242647058823
hallucinogen-frequency,hallucinogen-frequency,225.00735294117652
hallucinogen-frequency,inhalant-use,-1.9136029411764706
hallucinogen-frequency,pain-releiver-use,-23.187132352941173
hallucinogen-frequency,pain-releiver-frequency,56.94117647058824
hallucinogen-frequency,oxycontin-use,-4.034191176470588
hallucinogen-frequency,tranquilizer-use,-12.046323529411765
hallucinogen-frequency,tranquilizer-frequency,121.58455882352942
hallucinogen-frequency,stimulant-use,-9.551470588235293
hallucinogen-frequency,stimulant-frequency,-134.09558823529412
hallucinogen-frequency,meth-use,-1.704779411764706
hallucinogen-frequency,sedative-use,-0.4797794117647058
hallucinogen-frequency,sedative-frequency,198.5827205882353
inhalant-use,n,-443.36801470588233
inhalant-use,alcohol-use,-16.15713235294118
inhalant-use,alcohol-frequency,-17.08308823529412
inhalant-use,marijuana-use,1.4121691176470585
inhalant-use,marijuana-frequency,-9.838235294117649
inhalant-use,cocaine-use,-0.36154411764705896
inhalant-use,crack-use,-0.11882352941176472
inhalant-use,heroin-use,-0.06683823529411763
inhalant-use,hallucinogen-use,0.4480514705882353
inhalant-use,hallucinogen-frequency,-1.9136029411764706
inhalant-use,inhalant-use,0.8598529411764707
inhalant-use,pain-releiver-use,0.2702573529411763
inhalant-use,pain-releiver-frequency,-2.2036764705882352
inhalant-use,oxycontin-use,0.062316176470588215
inhalant-use,tranquilizer-use,-0.16867647058823534
inhalant-use,tranquilizer-frequency,1.6841911764705884
inhalant-use,stimulant-use,0.14147058823529404
inhalant-use,stimulant-frequency,-33.46066176470588
inhalant-use,meth-use,-0.014595588235294124
inhalant-use,sedative-use,0.014154411764705879
inhalant-use,sedative-frequency,-6.751470588235295
pain-releiver-use,n,-343.51066176470584
pain-releiver-use,alcohol-use,52.55654411764707
pain-releiver-use,alcohol-frequency,18.94852941176471
pain-releiver-use,marijuana-use,36.59011029411764
pain-releiver-use,marijuana-frequency,35.598161764705885
pain-releiver-use,cocaine-use,5.215514705882352
pain-releiver-use,crack-use,0.48731617647058817
pain-releiver-use,heroin-use,0.8516544117647059
pain-releiver-use,hallucinogen-use,8.040441176470587
pain-releiver-use,hallucinogen-frequency,-23.187132352941173
pain-releiver-use,inhalant-use,0.2702573529411763
pain-releiver-use,pain-releiver-use,10.025955882352939
pain-releiver-use,pain-releiver-frequency,-10.290441176470589
pain-releiver-use,oxycontin-use,1.8804779411764707
pain-releiver-use,tranquilizer-use,5.325808823529412
pain-releiver-use,tranquilizer-frequency,-12.795772058823529
pain-releiver-use,stimulant-use,4.285551470588236
pain-releiver-use,stimulant-frequency,-128.3360294117647
pain-releiver-use,meth-use,0.7638235294117647
pain-releiver-use,sedative-use,0.2781985294117647
pain-releiver-use,sedative-frequency,-21.328676470588235
pain-releiver-frequency,n,-1008.7941176470588
pain-releiver-frequency,alcohol-use,-49.159558823529416
pain-releiver-frequency,alcohol-frequency,1.0477941176470535
pain-releiver-frequency,marijuana-use,-42.04264705882352
pain-releiver-frequency,marijuana-frequency,-36.33088235294118
pain-releiver-frequency,cocaine-use,-3.451102941176471
pain-releiver-frequency,crack-use,-0.3330882352941177
pain-releiver-frequency,heroin-use,-0.3147058823529413
pain-releiver-frequency,hallucinogen-use,-8.133088235294117
pain-releiver-frequency,hallucinogen-frequency,56.94117647058824
pain-releiver-frequency,inhalant-use,-2.2036764705882352
pain-releiver-frequency,pain-releiver-use,-10.290441176470589
pain-releiver-frequency,pain-releiver-frequency,48.09558823529413
pain-releiver-frequency,oxycontin-use,-2.001470588235294
pain-releiver-frequency,tranquilizer-use,-5.035661764705882
pain-releiver-frequency,tranquilizer-frequency,55.698529411764696
pain-releiver-frequency,stimulant-use,-4.000735294117648
pain-releiver-frequency,stimulant-frequency,193.60845588235296
pain-releiver-frequency,meth-use,-0.799264705882353
pain-releiver-frequency,sedative-use,-0.36176470588235293
pain-releiver-frequency,sedative-frequency,-7.786764705882355
oxycontin-use,n,-131.07095588235293
oxycontin-use,alcohol-use,9.632647058823528
oxycontin-use,alcohol-frequency,3.261764705882352
oxycontin-use,marijuana-use,7.068492647058823
oxycontin-use,marijuana-frequency,6.808455882352941
